kegg,smiles,mass,formula,pubchem,chebi
C06827,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,365.1045,C16H19N3O5S,33613,CHEBI:2676
C06860,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,239.1077,C13H18ClNO,444,CHEBI:3219
C06863,C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,327.2198,C21H29NO2,5361092,CHEBI:3242
C06866,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,305.1991,C18H27NO3,1548943,NA
C06906,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,318.0957,C17H19ClN2S,2726,NA
C06916,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.071,C12H15ClO3,2796,CHEBI:3750
C06943,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,266.1783,C18H22N2,2995,NA
C06949,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,229.9917,C8H7ClN2O2S,3019,CHEBI:4495
C06950,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,469.0266,C19H17Cl2N3O5S,18381,CHEBI:4511
C06956,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,780.4296,C41H64O14,2724385,CHEBI:4551
C06957,C[C@H]\1CC[C@@H](C/C1=C\C=C\2/CCC[C@]3(C2CCC3[C@H](C)/C=C/[C@H](C)C(C)C)C)O,398.3549,C28H46O,46173763,NA
C06958,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,414.1613,C22H26N2O4S,39186,CHEBI:101278
C06991,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O,287.1521,C17H21NO3,3308,CHEBI:4909
C07042,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,285.1365,C17H19NO3,5284570,CHEBI:5790
C07044,C(=O)(N)NO,76.0273,CH4N2O2,3657,NA
C07108,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,371.2249,C26H29NO,2733526,NA
C07117,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,295.0167,C14H11Cl2NO2,4037,CHEBI:6710
C07128,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,247.1572,C15H21NO2,4058,CHEBI:6754
C07130,CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.0647,C7H8N4O2,2153,CHEBI:28177
C07148,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,270.1038,C12H18N2O3S,5505,CHEBI:27999
C07155,C1[C@H](C1C2=CC=CC=C2)N,133.0891,C9H11N,441233,NA
C07185,CCCC(CCC)C(=O)O,144.115,C8H16O2,3121,NA
C07188,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.2832,C27H38N2O4,2520,CHEBI:77733
C07190,CN1C=CNC1=S,114.0252,C4H6N2S,1349907,CHEBI:50673
C07194,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,211.0845,C10H13NO4,38853,CHEBI:61058
C07203,CC1=NC=C(N1CCO)[N+](=O)[O-],171.0644,C6H9N3O3,4173,CHEBI:6909
C07205,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,226.1106,C14H14N2O,4174,NA
C07228,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,473.1661,C28H27NO4S,5035,CHEBI:8772
C07274,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,263.1674,C19H21N,4543,NA
C07315,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,253.0521,C10H11N3O3S,5329,CHEBI:9332
C07369,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,360.1937,C21H28O5,5755,NA
C07375,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,236.1525,C13H20N2O2,4914,CHEBI:8430
C07379,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,284.1347,C17H20N2S,4926,CHEBI:8459
C07404,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,284.1347,C17H20N2S,4927,CHEBI:8461
C07446,C1=CN=CC=C1C(=O)O,123.032,C6H5NO2,5922,CHEBI:6032
C07458,C1=CC(=CC=C1N)S(=O)(=O)N,172.0306,C6H8N2O2S,5333,NA
C07480,CN1C=NC2=C1C(=O)NC(=O)N2C,180.0647,C7H8N4O2,5429,CHEBI:28946
C07481,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.0804,C8H10N4O2,2519,CHEBI:27732
C07482,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,585.2104,C35H36ClNO3S,5281040,CHEBI:50730
C07500,C=CC(CCC(=O)O)N,129.079,C6H11NO2,25202592,CHEBI:63638
C07502,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,339.0988,C12H21NO8S,5284627,CHEBI:63631
C07505,CCC1(CC(=O)NC1=O)C,141.079,C7H11NO2,3291,CHEBI:4887
C07537,CCOC1=C2C3=C(C[C@@H]4[C@H]5[C@]3(CCN4C)[C@@H](O2)[C@H](C=C5)O)C=C1,313.1678,C19H23NO3,5359271,CHEBI:4902
C07564,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,260.1889,C16H24N2O,5095,CHEBI:8888
C07565,CC(=O)NC1=CC=CC=C1,135.0684,C8H9NO,904,CHEBI:28884
C07569,CCCC1=CC(=O)NC(=S)N1,170.0514,C7H10N2OS,657298,CHEBI:8502
C07588,C1=CC=C(C(=C1)C(=O)NCC(=O)O)O,195.0532,C9H9NO4,10253,CHEBI:9008
C07599,C1=C2C(=NC(=O)NC2=O)NN1,152.0334,C5H4N4O2,4644,NA
C07618,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,310.1933,C21H26O2,6291,CHEBI:6784
C07624,C1CC1NC2=NC(=NC3=C2N=CN3[C@@H]4C[C@@H](C=C4)CO)N,286.1542,C14H18N6O,441300,CHEBI:421707
C07630,COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,310.0736,C12H14N4O4S,17134,CHEBI:9329
C07658,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,250.0524,C10H10N4O2S,5215,CHEBI:9328
C07665,CCC1=NC=CC(=C1)C(=S)N,166.0565,C8H10N2S,2761171,CHEBI:4885
C07666,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,248.0619,C12H12N2O2S,2955,CHEBI:4325
C07736,CC(O)(P(=O)(O)O)P(=O)(O)O,205.9745,C2H8O7P2,3305,CHEBI:4907
C07819,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,254.1015,C10H14N4O4,3182,CHEBI:4728
C07931,C1=CC2=C(C=C1Cl)NC(=O)O2,168.9931,C7H4ClNO2,2733,CHEBI:3655
C07968,CCN(CC)C(=O)N1CCN(CC1)C,199.1685,C10H21N3O,3052,CHEBI:4527
C08042,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,198.0389,C6H6N4O4,5447130,NA
C08057,C1[C@H](C(=O)NO1)N,102.0429,C3H6N2O2,51670069,CHEBI:74159
C08149,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,312.2089,C21H28O2,13109,CHEBI:6443
C08261,C(CCCC(=O)O)CCCC(=O)O,188.1049,C9H16O4,19347555,CHEBI:48131
C08262,CC(C)CC(=O)O,102.0681,C5H10O2,10430,CHEBI:28484
C08276,CSCCC(=O)O,120.0245,C4H8O2S,563,CHEBI:1438
C08277,C(CCCCC(=O)O)CCCC(=O)O,202.1205,C10H18O4,5192,NA
C08278,C(CCCC(=O)O)CCC(=O)O,174.0892,C8H14O4,10457,CHEBI:9300
C08281,CCCCCCCCCCCCCCCCCCCCCC(=O)O,340.3341,C22H44O2,8215,CHEBI:28941
C08309,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,218.1419,C13H18N2O,1832,CHEBI:2086
C08313,CC1=CNC2=CC=CC=C12,131.0735,C9H9N,6736,CHEBI:9171
C08316,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,338.3185,C22H42O2,5281116,CHEBI:28792
C08322,CCCC/C=C\CCCCCCCC(=O)O,226.1933,C14H26O2,5281119,CHEBI:27781
C08323,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O,366.3498,C24H46O2,5281120,NA
C08362,CCCCCC/C=C\CCCCCCCC(=O)O,254.2246,C16H30O2,445638,CHEBI:28716
C08367,CCCCCC/C=C/CCCCCCCCCC(=O)O,282.2559,C18H34O2,5281127,CHEBI:28727
C08434,CNC1=NC=NC2=C1NC=N2,149.0701,C6H7N5,67955,CHEBI:28871
C08491,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)O,210.1256,C12H18O3,5281166,CHEBI:18292
C09209,CC1=NC=CC2=C1NC3=CC=CC=C23,182.0844,C12H10N2,5281404,CHEBI:5623
C09727,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.079,C15H14O6,72276,CHEBI:90
C09731,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,458.0849,C22H18O11,65064,CHEBI:4806
C09789,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,580.1792,C27H32O14,442428,NA
C09981,C[C@H]1CCCC(=O)CCC/C=C/C2=CC(=CC(=C2C(=O)O1)O)O,318.1467,C18H22O5,5281576,CHEBI:10106
C10028,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.0579,C15H10O4,5281607,CHEBI:75095
C10073,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,464.0955,C21H20O12,5281643,CHEBI:67486
C10084,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.0583,C16H12O7,5281654,CHEBI:6052
C10107,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,318.0376,C15H10O8,5281672,NA
C10216,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,416.1107,C21H20O9,107971,NA
C10237,C1[C@H]([C@H](OC2=C3[C@@H]4[C@H]([C@@](OC5=CC(=CC(=C45)O)O)(OC3=CC(=C21)O)C6=CC(=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O,576.1268,C30H24O12,124025,CHEBI:28472
C10443,COC1=C(C=CC(=C1)/C=C/C(=C/C(=O)/C=C/C2=CC(=C(C=C2)O)OC)/O)O,368.126,C21H20O6,5281767,NA
C10447,C1=CC(=C(C=C1CCC(=O)O)O)O,182.0579,C9H10O4,348154,CHEBI:48400
C10470,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,194.0579,C10H10O4,736186,CHEBI:27794
C10509,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,430.1264,C22H22O9,442813,CHEBI:7775
C10521,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,284.0685,C16H12O5,5281804,CHEBI:8600
C10682,COC1=C(C=CC(=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)O,358.1416,C20H22O6,119205,CHEBI:65005
C11045,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,294.1216,C14H18N2O5,134601,CHEBI:2877
C11133,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,446.1941,C24H30O8,115255,NA
C11142,CS(=O)(=O)C,94.0089,C2H6O2S,6213,CHEBI:9349
C11155,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,212.0685,C10H12O5,4947,CHEBI:10607
C11284,C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O,203.0946,C12H13NO2,8617,CHEBI:33070
C11332,CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)N,244.1787,C12H24N2O3,94244,CHEBI:6418
C11378,CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,862.6839,C59H90O4,5281915,NA
C11437,CC(=O)[C@H]([C@@H](COP(=O)(O)O)O)O,214.0242,C5H11O7P,443201,CHEBI:16493
C11457,C1=CC(=CC(=C1)O)CCC(=O)O,166.063,C9H10O3,91,CHEBI:1427
C11695,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,347.2824,C22H37NO2,5281969,CHEBI:2700
C11714,C1=CC=C2C(=C1)C=CC=C2O,144.0575,C10H8O,7005,CHEBI:10319
C11785,C1CN[C@@H]2CC3=C4[C@@]15[C@H]2C=C[C@@H]([C@@H]5OC4=C(C=C3)O)O,271.1208,C16H17NO3,5462508,CHEBI:7633
C12144,CCCCCCCCCCCCCC[C@H]([C@H]([C@H](CO)N)O)O,317.293,C18H39NO3,122121,NA
C12147,C[C@H]([C@@H](C(=O)O)N)OP(=O)(O)O,199.0246,C4H10NO6P,3246323,CHEBI:37525
C12249,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,448.1006,C21H20O11,5282102,CHEBI:30200
C12270,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,304.0907,C11H16N2O8,71120,NA
C12518,C(CC=O)CC=O,100.0524,C5H8O2,3485,CHEBI:64276
C12621,C1=CC(=CC(=C1)O)/C=C/C(=O)O,164.0473,C9H8O3,637541,CHEBI:32357
C12650,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,359.1493,C15H22FN3O6,60953,NA
C12989,CC(=O)N[C@@H](CCCCN)C(=O)O,188.1161,C8H16N2O3,6992697,CHEBI:35704
C13747,CN1C=NC2=C1C(=O)N(C(=O)N2)C,180.0647,C7H8N4O2,4687,CHEBI:25858
C13846,CCCCCCCCCCCCCCCCCC(=O)N,283.2875,C18H37NO,31292,CHEBI:34900
C13914,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N(C)C)O,327.3137,C20H41NO2,5282309,CHEBI:78759
C14131,C1[C@H](COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,242.0943,C15H14O3,91469,CHEBI:34741
C14151,CC1=C2C(=CC(=C1)O)CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,402.3498,C27H46O2,92094,NA
C14487,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C#C)O)C,312.2089,C21H28O2,5284557,CHEBI:34749
C14536,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,284.0685,C16H12O5,5317750,CHEBI:34778
C14717,CCCCC/C=C/C=C/1\[C@H](C=CC1=O)C/C=C\CCCC(=O)O,316.2038,C20H28O3,5311211,CHEBI:34159
C15493,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,300.2089,C20H28O2,449171,CHEBI:50648
C15519,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,402.3498,C27H46O2,65094,NA
C15557,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,433.3192,C26H43NO4,115245,CHEBI:37998
C15587,C1=C2C(=NC=N1)N=CN2,120.0436,C5H4N4,1044,CHEBI:17258
C15608,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,222.0681,C15H10O2,10680,NA
C15643,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,392.1999,C22H29FO5,5743,NA
C16195,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,446.1213,C22H22O10,187808,CHEBI:80373
C16308,C(CCCCC(=O)O)CCC/C=C/C(=O)O,228.1362,C12H20O4,5283028,CHEBI:545687
C16353,CN1C=NC2=C1C(=O)NC(=O)N2,166.0491,C6H6N4O2,68374,CHEBI:48991
C16355,CN1C2=C(NC(=O)NC2=O)NC1=O,182.044,C6H6N4O3,69160,NA
C16356,CN1C2=C(NC1=O)NC(=O)N(C2=O)C,196.0596,C7H8N4O3,91611,CHEBI:68449
C16357,CN1C2=C(C(=O)NC1=O)NC=N2,166.0491,C6H6N4O2,70639,CHEBI:62207
C16358,CN1C(=O)C2=C(NC1=O)N=CN2,166.0491,C6H6N4O2,80220,CHEBI:68444
C16359,CN1C(=O)C2=C(NC(=O)N2)NC1=O,182.044,C6H6N4O3,69726,CHEBI:68441
C16360,CN1C2=C(NC1=O)N(C(=O)NC2=O)C,196.0596,C7H8N4O3,83126,CHEBI:68531
C16512,CCCCCCCCCCCCCCCC(=O)NCCO,299.2824,C18H37NO2,4671,CHEBI:71464
C16537,CCCCCCCCCCCCCCC(=O)O,242.2246,C15H30O2,13849,NA
C16681,CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C=O)\C)/C,284.214,C20H28O,6436082,CHEBI:78273
C16683,CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,300.2089,C20H28O2,5289090,NA
C16741,C(C[C@@H](C(=O)O)N)[C@H](CN)O,162.1004,C6H14N2O3,3032849,CHEBI:18040
C16772,CC1=CCC(CC1)C(C)(C)O,154.1358,C10H18O,17100,NA
C16843,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,163.0845,C6H13NO4,29435,CHEBI:44369
C16868,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,499.2968,C26H45NO6S,9848818,CHEBI:80774
C16884,C([C@H]([C@@H](CO)O)O)O,122.0579,C4H10O4,169019,CHEBI:48300
C17076,CCCCCCCCCCCCC(=O)O,214.1933,C13H26O2,12530,NA
C17639,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.1424,C30H26O12,122738,CHEBI:75632
C17715,CCCCCCCCCCC(=O)O,186.162,C11H22O2,8180,CHEBI:32368
C18044,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,396.197,C21H32O5S,105074,CHEBI:35420
C18166,C1=CC(=CC(=C1)O)C[C@@H](CO)[C@@H](CC2=CC(=CC=C2)O)CO,302.1518,C18H22O4,115089,CHEBI:81556
C18218,C(CCCCCCCC(=O)O)CCCCCCCO,272.2351,C16H32O3,10466,CHEBI:55328
C19355,CCCCOCCO,118.0994,C6H14O2,8133,CHEBI:63921
C19530,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,278.0837,C12H14N4O2S,5327,CHEBI:102265
C19837,C1=CC=C2C(=C1)C(=CN2)C(=O)O,161.0477,C9H7NO2,69867,CHEBI:24809
C20157,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,168.0687,C11H8N2,64961,CHEBI:109895
C20634,COC(=O)C1=CC=CC=C1N,151.0633,C8H9NO2,8635,CHEBI:73244
